sale_date,product_id,region_id,quantity,unit_price
2025-07-10,572,2,58,1840
2025-08-23,112,7,63,4209
2025-04-25,734,1,48,4015
2025-08-27,865,7,4,2917
2025-04-25,755,1,26,4024
2025-05-04,11,4,68,1553
2025-03-13,128,2,63,1881
2025-05-11,210,5,80,2469
2025-03-19,18,5,97,1607
2025-06-20,653,4,47,3863
2025-04-09,130,1,61,4323
2025-04-29,889,7,51,946
2025-08-12,317,4,91,3197
2025-03-30,616,2,70,4173
2025-03-28,640,6,86,2747
2025-03-30,934,2,99,3266
2025-07-16,251,7,58,3647
2025-07-21,709,6,11,4275
2025-08-12,869,4,51,4256
2025-08-04,361,6,9,2722
2025-03-04,206,4,16,852
2025-07-09,187,7,56,654
2025-06-10,268,5,64,871
2025-03-07,648,5,25,1662
2025-06-15,948,3,25,4260
2025-04-09,725,1,72,1060
2025-04-10,434,7,62,1149
2025-04-30,204,4,25,2723
2025-06-04,587,6,27,4082
2025-03-26,186,2,66,4629
2025-07-07,65,7,95,4842
2025-05-16,84,4,66,3622
2025-07-07,866,4,61,2181
2025-03-02,881,4,23,4016
2025-04-14,834,2,95,2095
2025-07-10,764,7,96,3328
2025-07-15,709,6,41,3740
2025-08-23,802,4,88,2118
2025-03-24,942,7,4,1968
2025-08-05,284,1,29,3076
2025-03-20,579,1,95,1317
2025-03-20,383,5,85,1667
2025-05-27,403,4,64,3028
2025-05-16,575,2,55,3682
2025-06-29,982,1,77,2227
2025-05-27,694,1,34,2790
2025-08-06,425,2,13,2246
2025-07-05,189,4,44,2399
2025-03-30,22,3,6,1563
2025-08-25,881,6,27,2652
2025-08-11,322,7,20,2436
2025-03-18,88,4,79,4506
2025-07-09,429,1,100,1211
2025-04-09,656,6,91,985
2025-07-24,75,2,44,4839
2025-05-21,415,2,93,4604
2025-06-07,581,1,36,2164
2025-05-21,755,6,4,1555
2025-04-09,837,6,63,4658
2025-06-25,772,3,77,3278
2025-08-09,780,4,92,4901
2025-08-27,579,5,39,3564
2025-08-18,912,5,96,1312
2025-04-13,991,3,74,1200
2025-05-01,185,4,84,3849
2025-07-02,441,2,11,2366
2025-08-22,469,7,40,710
2025-05-26,594,4,85,3123
2025-08-08,976,5,83,4953
2025-05-17,150,6,35,1873
2025-05-09,496,3,63,2672
2025-06-10,306,7,37,1390
2025-04-10,84,6,46,4333
2025-05-23,167,4,44,1875
2025-07-12,116,4,23,2435
2025-03-23,479,7,45,3869
2025-05-23,182,6,52,3683
2025-08-03,566,6,46,3596
2025-05-13,754,3,87,1905
2025-03-16,133,7,78,4006
2025-07-03,113,2,1,3801
2025-03-29,327,6,67,3715
2025-04-01,702,2,16,3564
2025-08-14,905,4,59,2093
2025-05-05,567,5,93,3770
2025-04-12,692,3,100,3104
2025-07-28,131,2,44,3364
2025-06-14,636,7,61,1590
2025-06-27,705,1,55,2985
2025-07-21,746,5,17,2690
2025-07-06,896,7,55,4372
2025-06-25,211,1,38,4396
2025-06-02,323,3,96,2864
2025-05-13,657,3,81,1882
2025-07-18,550,6,34,1044
2025-08-21,392,4,21,3241
2025-08-06,546,1,45,3457
2025-04-07,496,3,92,2754
2025-06-08,822,4,48,2897
2025-07-23,842,5,57,2900
2025-03-14,527,6,27,2850
2025-08-29,778,4,87,2420
2025-08-13,49,4,96,3013
2025-04-14,564,4,66,1959
2025-05-23,103,6,13,2629
2025-08-12,708,4,90,1130
2025-08-02,960,3,67,804
2025-04-03,621,7,84,3595
2025-08-14,838,1,18,2384
2025-08-24,823,5,20,4935
2025-03-30,954,7,91,3069
2025-05-01,704,6,47,1744
2025-05-17,809,3,56,3554
2025-06-11,83,2,100,1381
2025-03-26,209,2,28,948
2025-03-23,866,1,28,2971
2025-08-02,943,6,23,3536
2025-05-31,651,7,86,4769
2025-03-30,467,7,70,3033
2025-08-09,748,2,7,3430
2025-07-31,961,1,57,2756
2025-03-10,291,5,81,889
2025-08-11,887,7,5,3551
2025-07-10,125,3,15,4803
2025-03-24,278,6,84,4022
2025-08-28,963,3,56,1067
2025-07-31,169,7,80,4211
2025-05-03,479,7,20,2672
2025-06-06,430,3,96,1508
2025-06-23,504,3,28,3952
2025-06-19,979,7,26,4032
2025-03-10,624,5,27,1210
2025-06-23,79,7,87,4412
2025-03-06,177,4,46,1549
2025-06-23,3,7,35,2366
2025-04-19,940,5,37,1512
2025-06-25,52,6,19,4338
2025-06-20,935,5,11,2660
2025-05-04,809,3,74,3814
2025-03-07,945,2,57,4347
2025-08-22,822,1,69,932
2025-07-27,298,4,46,4559
2025-03-14,793,2,18,4753
2025-07-26,913,7,11,4101
2025-07-27,44,6,99,2863
2025-08-09,783,7,30,3756
2025-06-25,154,6,22,3584
2025-07-19,837,6,31,3375
2025-06-05,368,5,48,3317
2025-04-22,528,7,92,3134
2025-08-12,579,2,76,2464
2025-07-15,735,1,95,3689
2025-04-08,300,1,36,908
2025-07-19,534,2,55,1273
2025-07-18,360,2,6,1368
2025-07-18,200,6,58,4911
2025-07-02,682,4,51,4658
2025-05-17,129,5,15,2111
2025-08-10,938,5,88,2462
2025-05-24,102,2,52,2773
2025-07-31,210,2,39,4702
2025-03-21,974,2,95,3436
2025-08-23,957,5,30,4567
2025-08-23,305,7,61,2373
2025-08-19,232,2,4,2322
2025-05-03,821,7,58,3610
2025-07-05,205,5,55,4875
2025-05-01,523,6,26,2477
2025-07-08,768,6,35,2536
2025-08-16,67,7,7,1945
2025-08-13,142,7,66,2770
2025-03-24,114,2,15,3537
2025-03-25,344,3,42,576
2025-04-13,768,4,62,4732
2025-04-24,69,5,7,4019
2025-07-21,3,4,90,1372
2025-07-20,97,5,79,2723
2025-07-08,934,3,16,2772
2025-07-16,623,2,74,4019
2025-04-05,570,3,90,4064
2025-04-15,861,2,88,3605
2025-07-12,52,7,13,1497
2025-04-02,322,3,36,3442
2025-04-10,520,3,89,1442
2025-04-01,494,5,49,715
2025-08-28,444,6,46,857
2025-06-23,449,5,93,3828
2025-05-02,337,7,74,1995
2025-08-12,883,3,62,2758
2025-08-07,596,1,69,2527
2025-03-02,725,3,77,4581
2025-06-18,535,3,13,4556
2025-05-27,253,1,98,1840
2025-07-16,91,3,54,3845
2025-03-19,999,1,47,1902
2025-08-16,350,4,26,1992
2025-04-25,828,3,43,4551
2025-06-30,31,2,37,802
2025-05-20,421,6,76,2080
2025-07-10,93,5,26,3204
2025-08-09,520,4,73,1016
2025-03-26,979,5,87,994
2025-06-21,767,5,37,3006
2025-07-16,46,6,95,1655
2025-06-07,214,6,38,1251
2025-05-10,271,6,6,4333
2025-08-16,489,6,55,3407
2025-06-12,977,2,29,4330
2025-03-03,159,2,59,4942
2025-08-25,722,4,77,4246
2025-04-21,588,7,68,2357
2025-04-21,336,1,85,1175
2025-04-25,224,6,89,3948
2025-05-01,134,3,51,2712
2025-07-06,670,5,36,4468
2025-05-03,827,1,29,1216
2025-03-17,251,2,15,4913
2025-07-14,309,1,69,2408
2025-05-24,255,4,79,3383
2025-06-27,316,2,64,4660
2025-05-28,89,1,79,836
2025-05-03,220,5,41,4008
2025-06-08,329,7,5,4320
2025-05-19,641,4,44,2332
2025-03-28,553,5,85,3943
2025-08-14,357,6,89,723
2025-04-22,907,1,46,1636
2025-06-26,40,3,41,1433
2025-07-14,398,4,98,3345
2025-06-06,878,1,61,846
2025-06-29,650,3,37,3434
2025-07-09,588,2,70,3025
2025-04-01,421,2,78,651
2025-05-28,957,5,22,904
2025-08-15,429,6,73,699
2025-05-17,798,7,97,3426
2025-08-23,499,4,13,1113
2025-03-17,816,4,71,995
2025-08-02,952,4,25,2461
2025-07-22,755,1,12,3462
2025-06-03,562,2,89,2291
2025-06-09,623,2,13,708
2025-08-07,86,2,38,1765
2025-03-06,416,4,43,1004
2025-06-06,125,5,55,4582
2025-03-12,357,4,45,847
2025-05-31,149,4,72,937
2025-07-29,286,2,70,2576
2025-07-19,927,7,81,3083
2025-05-01,429,5,91,4797
2025-04-18,48,6,22,1113
2025-04-29,824,7,64,1239
2025-06-17,40,4,40,3377
2025-04-30,944,1,82,4580
2025-07-17,857,6,73,4223
2025-07-15,514,4,29,2382
2025-04-03,308,4,69,3456
2025-05-06,208,1,88,739
2025-04-04,851,5,95,3701
2025-05-15,816,3,65,3518
2025-05-07,346,2,28,4829
2025-04-07,769,2,8,2761
2025-07-06,143,2,57,3094
2025-06-04,689,4,64,2883
2025-03-26,597,7,17,1065
2025-04-12,510,6,90,2980
2025-06-17,639,5,14,3659
2025-06-14,819,5,2,697
2025-05-09,675,7,7,3747
2025-06-12,417,7,65,4081
2025-06-30,874,4,81,1936
2025-03-09,557,3,77,818
2025-06-07,577,5,45,960
2025-07-19,478,7,17,3611
2025-07-13,896,2,86,3673
2025-05-04,425,2,37,2959
2025-05-08,794,6,82,951
2025-04-08,889,5,30,3503
2025-05-29,859,3,53,726
2025-04-30,80,6,94,2774
2025-03-21,610,1,36,3479
2025-05-08,845,7,61,703
2025-06-08,508,6,44,1257
2025-03-04,750,3,68,3503
2025-07-29,296,5,69,839
2025-04-24,255,7,16,2282
2025-05-10,252,7,5,1915
2025-08-22,878,4,76,2142
2025-03-06,208,3,78,3604
2025-05-15,776,6,30,2149
2025-03-27,572,5,26,1318
2025-06-06,506,5,96,1596
2025-06-20,945,4,44,3664
2025-03-08,374,1,6,3710
2025-07-24,124,4,12,4917
2025-04-30,146,7,25,801
2025-06-10,932,6,27,3920
2025-08-13,255,4,43,3005
2025-03-23,90,2,12,1293
2025-04-27,784,7,86,4763
2025-05-26,100,7,89,3410
2025-08-14,375,5,32,1532
2025-05-27,193,3,77,2938
2025-07-02,65,3,25,3589
2025-05-09,496,6,75,1404
2025-04-22,126,6,24,907
2025-07-16,27,4,88,2203
2025-03-25,254,3,58,3868
2025-03-06,303,1,16,3262
2025-08-27,443,2,88,2771
2025-05-09,585,4,40,4839
2025-07-13,54,7,94,3584
2025-08-06,432,2,2,4297
2025-07-15,923,4,68,1261
2025-03-16,672,2,13,2219
2025-08-27,535,1,26,4809
2025-05-19,534,7,32,935
2025-06-25,256,2,67,760
2025-07-11,878,4,25,850
2025-07-05,976,6,89,3155
2025-04-16,988,7,57,4587
2025-06-23,712,7,24,679
2025-08-27,464,7,26,1518
2025-03-16,547,2,14,4192
2025-04-27,758,5,80,1082
2025-05-26,196,6,37,1810
2025-03-24,472,6,92,1478
2025-08-07,566,4,78,4358
2025-05-20,816,5,69,1373
2025-04-02,957,5,61,4961
2025-07-07,794,6,35,2229
2025-03-13,80,2,23,4832
2025-04-19,569,5,20,1709
2025-04-21,498,3,83,1206
2025-05-14,604,5,93,4096
2025-06-30,373,3,57,1184
2025-03-28,67,1,13,4917
2025-04-30,444,6,78,849
2025-07-30,339,6,79,512
2025-07-12,556,2,67,4295
2025-08-03,160,2,11,3847
2025-05-09,963,2,77,4100
2025-06-29,637,5,20,1087
2025-03-20,893,5,34,697
2025-07-22,348,3,17,3276
2025-03-26,376,5,48,1953
2025-04-30,735,2,38,2146
2025-05-05,328,4,94,4325
2025-07-03,616,2,28,1282
2025-05-21,55,3,64,1133
2025-03-07,981,7,18,2911
2025-06-21,276,1,24,984
2025-03-20,966,4,56,771
2025-07-14,748,7,28,2930
2025-03-09,735,2,29,1796
2025-03-04,131,1,95,2405
2025-04-03,698,5,74,2426
2025-08-26,992,3,86,1363
2025-08-03,828,4,95,2842
2025-03-05,755,4,2,1750
2025-06-27,483,4,28,540
2025-04-01,374,2,8,3548
2025-07-29,661,6,49,3128
2025-03-17,217,2,18,2839
2025-07-16,963,6,91,3182
2025-06-20,354,5,98,3853
2025-06-09,11,4,65,3709
2025-05-21,319,3,75,4127
2025-08-12,111,6,4,1044
2025-08-13,992,5,33,3776
2025-03-12,416,5,7,4515
2025-03-24,267,7,14,2368
2025-08-05,210,5,12,2102
2025-04-04,815,1,17,2063
2025-03-25,206,1,64,3260
2025-05-24,384,7,22,3298
2025-04-04,241,1,2,916
2025-06-02,480,7,32,3425
2025-08-25,200,3,53,1608
2025-07-31,964,6,31,2729
2025-04-23,800,3,86,1579
2025-05-22,989,6,20,2568
2025-03-17,449,6,50,4718
2025-05-11,510,1,84,3266
2025-05-07,754,1,95,2988
2025-07-04,477,7,93,2663
2025-08-23,242,1,100,2172
2025-04-13,391,1,77,3810
2025-07-26,431,3,33,3909
2025-08-19,959,3,43,1494
2025-08-26,766,7,29,2727
2025-07-25,541,1,36,3503
2025-03-10,36,6,49,4369
2025-05-11,527,7,55,4398
2025-04-30,875,4,63,3464
2025-04-29,499,4,77,3831
2025-07-04,270,4,51,2829
2025-06-16,519,5,6,1311
2025-03-23,309,6,6,3771
2025-08-27,103,3,35,2997
2025-07-07,517,6,93,731
2025-08-01,534,5,97,1180
2025-06-18,988,4,79,711
2025-05-16,466,4,81,687
2025-04-23,796,4,17,707
2025-03-10,314,3,2,2976
2025-08-11,380,3,67,3417
2025-05-11,755,7,42,3927
2025-08-07,576,7,18,4569
2025-07-26,490,7,41,4475
2025-07-30,737,7,80,4253
2025-05-16,872,5,79,3401
2025-06-01,74,7,92,944
2025-07-04,212,2,28,3869
2025-04-06,496,2,24,1101
2025-07-04,465,7,31,1874
2025-04-10,655,7,52,1847
2025-07-02,79,7,35,2203
2025-08-13,390,2,45,4522
2025-04-21,457,1,96,3779
2025-03-17,12,2,91,1544
2025-04-07,381,5,7,2870
2025-07-13,664,7,63,2775
2025-07-04,210,6,6,501
2025-04-25,680,2,79,1016
2025-08-25,501,1,43,1479
2025-07-04,909,4,81,2189
2025-07-24,289,7,57,3856
2025-04-17,953,7,54,3415
2025-04-23,733,7,45,3452
2025-08-07,566,5,10,1438
2025-04-07,841,3,76,1134
2025-07-03,644,1,99,4251
2025-06-10,477,7,88,4574
2025-05-05,130,7,58,4405
2025-06-03,409,4,27,2436
2025-05-07,630,1,51,4742
2025-07-14,421,4,25,3599
2025-06-02,465,2,86,835
2025-04-23,215,5,71,2392
2025-07-03,301,6,10,1110
2025-04-02,117,4,82,655
2025-04-01,468,6,95,3507
2025-06-10,465,6,64,4100
2025-04-09,775,1,76,1501
2025-07-17,844,4,10,3892
2025-04-28,406,5,50,2173
2025-04-02,715,7,22,3386
2025-03-27,339,6,8,1804
2025-07-26,572,5,24,4061
2025-04-24,623,2,29,3770
2025-08-23,97,3,56,3555
2025-04-13,811,1,59,1415
2025-05-21,271,1,23,1290
2025-06-15,102,4,93,4684
2025-07-28,418,1,6,2032
2025-05-24,878,5,57,3813
2025-04-11,472,3,52,4265
2025-08-18,840,4,70,4100
2025-04-16,988,7,14,4694
2025-07-29,104,6,84,570
2025-07-28,723,3,8,2979
2025-05-06,124,3,49,1946
2025-03-18,959,7,58,2904
2025-07-07,237,4,46,3110
2025-07-23,973,6,49,2399
2025-06-19,268,5,61,2654
2025-04-16,857,4,18,1679
2025-06-04,115,4,17,2957
2025-08-09,431,5,48,3083
2025-04-03,816,4,23,2493
2025-06-20,335,7,56,4576
2025-05-30,231,1,5,1398
2025-03-28,705,3,22,4725
2025-03-03,17,3,82,2596
2025-05-03,74,4,51,3846
2025-03-13,642,1,30,3018
2025-07-21,986,4,58,4684
2025-08-24,194,1,50,3827
2025-05-18,986,7,68,1768
2025-08-14,328,7,71,2669
2025-04-23,206,5,88,4817
2025-04-03,989,5,16,3508
2025-08-06,902,5,60,967
2025-04-01,306,6,90,826
2025-08-07,396,2,87,1679
2025-05-13,128,1,60,977
2025-03-05,29,3,36,2122
2025-04-05,269,6,38,4776
2025-03-17,933,6,92,4544
2025-05-18,981,2,37,2993
2025-04-30,309,7,3,4891
2025-03-24,346,7,97,3618
2025-08-27,443,2,58,2558
2025-07-27,828,6,30,1534
2025-03-26,420,1,99,4881
2025-07-23,442,7,45,3685
2025-03-12,641,5,19,887
2025-08-10,752,5,60,3387
2025-03-15,943,4,36,3209
2025-08-16,626,1,71,854
2025-03-15,152,4,47,1519
2025-07-28,909,6,56,684
2025-04-10,437,7,45,3399
2025-04-29,856,7,12,4456
2025-03-04,217,6,67,2838
2025-05-12,176,3,36,4085
2025-05-29,257,3,61,1464
2025-04-19,497,5,57,4693
2025-05-12,323,1,18,1995
2025-05-09,347,6,37,2358
2025-06-23,205,5,7,4486
2025-05-13,117,3,43,3085
2025-07-21,253,7,4,4008
2025-08-15,449,4,51,797
2025-07-04,179,2,97,2069
2025-07-27,146,6,51,2729
2025-06-30,335,2,46,2532
2025-08-02,128,4,30,4914
2025-05-03,648,3,65,2826
2025-04-06,453,4,69,1987
2025-04-24,175,3,77,3486
2025-08-26,964,7,34,1513
2025-04-17,657,5,51,2546
2025-05-24,861,6,17,585
2025-05-16,25,4,49,3990
2025-07-14,503,5,98,555
2025-04-14,103,5,71,566
2025-05-03,144,3,41,1250
2025-04-04,286,5,70,1414
2025-06-06,523,1,29,670
2025-05-22,979,4,57,3537
2025-07-18,480,1,11,4345
2025-04-14,345,5,84,4931
2025-06-11,342,4,46,4648
2025-04-27,172,5,44,4198
2025-03-22,268,4,65,2417
2025-07-14,345,4,32,1561
2025-04-23,583,1,75,1092
2025-04-19,328,2,21,2057
2025-05-02,491,3,18,4489
2025-06-16,438,1,20,2829
2025-04-12,414,2,81,656
2025-07-17,887,5,25,2554
2025-04-20,87,5,67,4023
2025-06-10,507,7,99,3930
2025-08-13,322,4,21,4606
2025-03-24,284,7,39,2460
2025-05-27,843,7,41,3671
2025-08-09,906,5,3,3890
2025-08-17,924,1,98,4229
2025-03-10,838,7,60,2412
2025-04-02,335,6,2,1205
2025-03-25,549,6,80,4761
2025-07-16,375,6,98,3075
2025-03-22,674,6,13,916
2025-07-15,521,6,72,4935
2025-05-30,147,2,96,2433
2025-07-28,295,7,98,4404
2025-05-03,216,7,9,2189
2025-04-27,979,5,87,1772
2025-05-14,834,6,26,4481
2025-04-23,415,4,22,2727
2025-08-24,381,2,28,3742
2025-07-08,371,4,1,3739
2025-04-03,307,2,74,2544
2025-05-21,547,6,93,1008
2025-04-07,720,7,14,4265
2025-07-20,81,2,3,2848
2025-06-20,443,7,92,2277
2025-03-31,991,3,93,1805
2025-06-30,937,4,47,2793
2025-06-05,517,6,40,4829
2025-05-19,35,3,69,1290
2025-04-19,945,4,4,2728
2025-03-21,677,2,72,1446
2025-04-17,115,4,45,1050
2025-04-23,527,4,83,841
2025-06-02,432,2,35,3025
2025-06-07,617,7,67,2732
2025-08-20,154,7,44,615
2025-03-04,285,6,31,3968
2025-03-27,273,4,90,552
2025-04-18,989,5,45,2729
2025-03-09,85,6,36,694
2025-04-22,152,6,31,1432
2025-07-05,865,3,23,1794
2025-08-17,506,6,6,2826
2025-07-29,814,4,90,3757
2025-07-26,186,4,62,501
2025-07-06,407,1,96,1278
2025-06-07,245,7,86,4055
2025-08-23,961,7,3,1242
2025-07-01,937,7,13,3832
2025-06-25,52,2,87,4614
2025-08-22,755,1,72,1639
2025-04-02,288,4,53,3964
2025-03-27,435,5,96,2533
2025-08-04,231,2,68,2499
2025-06-17,228,1,62,4625
2025-07-15,581,4,12,3826
2025-06-04,725,4,38,713
2025-03-02,25,4,78,3859
2025-05-18,509,3,33,4843
2025-03-20,172,7,97,3944
2025-08-01,1000,7,51,1132
2025-07-27,873,6,64,657
2025-05-27,692,6,46,4406
2025-03-06,461,2,8,740
2025-04-17,819,5,77,2274
2025-06-02,600,1,68,4144
2025-04-23,497,2,53,3830
2025-04-15,693,4,23,1866
2025-05-12,522,4,37,1522
2025-04-06,72,6,90,1192
2025-05-18,455,5,31,4288
2025-06-05,477,6,71,2958
2025-08-23,149,4,49,1896
2025-06-15,867,1,49,4428
2025-07-23,694,4,50,2178
2025-05-30,55,5,23,1625
2025-06-15,343,1,82,2218
2025-08-16,515,1,72,3034
2025-03-04,197,3,31,860
2025-03-02,872,6,29,2525
2025-03-21,313,5,39,1896
2025-03-09,920,1,20,729
2025-05-17,117,6,92,1030
2025-05-02,87,2,89,1399
2025-08-23,105,5,54,2419
2025-06-20,554,6,99,1970
2025-04-15,902,4,73,704
2025-03-11,127,4,7,4799
2025-05-08,430,4,78,752
2025-04-14,514,7,89,1034
2025-03-04,507,4,68,4734
2025-06-22,461,3,91,2162
2025-05-17,515,7,53,4686
2025-05-01,793,2,39,883
2025-08-09,834,6,37,829
2025-05-25,788,1,32,4428
2025-04-02,288,5,9,4160
2025-07-18,871,3,41,4840
2025-03-21,232,7,10,1608
2025-05-25,339,6,58,3558
2025-03-16,252,3,68,2023
2025-07-18,153,3,5,1380
2025-03-27,291,5,16,1246
2025-06-07,819,4,62,3078
2025-07-30,50,4,93,2882
2025-04-07,12,7,48,760
2025-08-04,241,5,73,4872
2025-05-16,819,3,2,2322
2025-04-06,666,5,50,2420
2025-08-26,795,1,72,2135
2025-07-08,266,4,42,1133
2025-05-15,396,2,58,4529
2025-05-04,261,1,78,4121
2025-08-23,889,6,64,3631
2025-06-30,544,3,83,1249
2025-05-28,460,1,28,4238
2025-05-19,426,2,59,1145
2025-03-16,177,3,62,1287
2025-05-13,377,4,75,3265
2025-03-22,318,5,86,2778
2025-05-12,206,6,74,1842
2025-03-29,264,7,73,4969
2025-07-10,844,7,53,3570
2025-05-09,862,4,37,4039
2025-07-26,961,3,78,4503
2025-03-19,957,3,15,2355
2025-08-11,264,3,56,3113
2025-08-05,308,3,92,2633
2025-03-21,664,3,57,3908
2025-06-14,521,6,19,1890
2025-07-16,516,7,39,1949
2025-08-16,937,1,20,1511
2025-03-27,406,7,56,2348
2025-07-02,522,7,3,1404
2025-03-05,841,4,85,2567
2025-08-07,539,2,10,2222
2025-05-24,483,2,62,4076
2025-07-07,829,7,76,1745
2025-07-01,874,6,10,1735
2025-06-28,568,2,67,610
2025-04-16,332,1,13,595
2025-03-11,729,6,49,4862
2025-07-31,674,2,41,1003
2025-08-28,892,3,95,3027
2025-05-24,878,7,85,940
2025-08-17,862,4,99,895
2025-03-10,835,1,85,2543
2025-06-08,91,3,62,3738
2025-06-11,735,3,56,534
2025-03-16,980,4,20,4925
2025-07-20,657,6,57,626
2025-03-05,674,5,76,652
2025-06-17,477,5,96,3928
2025-04-27,683,6,86,2399
2025-05-05,944,4,46,953
2025-05-02,653,5,86,3336
2025-08-13,911,1,68,4416
2025-06-13,425,5,56,2058
2025-04-22,942,3,29,4858
2025-04-12,636,7,75,572
2025-07-06,308,4,12,4107
2025-04-03,420,5,6,2070
2025-07-09,398,3,37,2048
2025-04-01,7,3,99,709
2025-05-29,59,5,15,2347
2025-05-03,238,5,19,870
2025-05-12,378,5,61,4012
2025-03-24,449,7,69,4999
2025-08-17,662,1,31,2203
2025-08-03,363,3,8,852
2025-05-22,458,2,5,3377
2025-06-05,58,4,16,1873
2025-06-11,756,3,72,2964
2025-04-30,663,7,28,887
2025-04-04,951,3,74,3192
2025-07-15,18,1,9,1730
2025-05-27,410,4,43,3153
2025-05-19,104,5,96,666
2025-08-03,269,2,52,3405
2025-07-12,386,4,38,1071
2025-04-04,434,3,65,1041
2025-04-26,503,1,67,4479
2025-07-30,710,4,12,4708
2025-08-04,176,7,4,3215
2025-07-31,200,4,86,3700
2025-03-22,193,4,16,2026
2025-05-01,266,2,94,3024
2025-06-29,199,2,85,2859
2025-04-27,408,3,11,4279
2025-04-29,52,3,10,4897
2025-04-03,310,5,12,758
2025-08-23,806,6,12,3613
2025-06-03,721,5,42,4232
2025-08-06,977,1,57,3357
2025-03-17,392,1,44,2803
2025-05-04,689,5,51,2665
2025-05-05,441,6,65,2312
2025-06-09,383,3,89,4803
2025-07-20,442,1,68,2584
2025-05-05,866,3,16,2124
2025-03-07,413,2,36,1478
2025-07-31,15,5,18,2359
2025-08-25,283,3,75,2117
2025-05-09,961,7,78,3601
2025-03-30,799,6,18,777
2025-03-16,731,6,92,1417
2025-06-25,4,1,9,3757
2025-07-29,543,2,76,3576
2025-04-06,317,7,43,557
2025-04-24,361,7,68,787
2025-04-22,937,2,26,2291
2025-06-02,531,3,4,3261
2025-05-02,717,5,85,3446
2025-03-29,98,1,19,4883
2025-03-23,757,1,79,1875
2025-03-07,217,5,79,4264
